Intitulé du poste,Entreprise,Ville,Type de contrat,Date de publication,Compétences demandées
Les 27 offres d’emploi du 14 Avril 2026 au Sénégal,N/A,Dakar,N/A,2026-04-14,N/A
PUM recrute 01 Responsable Pays,PUM,N/A,FREELANCE,2026-04-14,N/A
Analysis & Conseils recrute 01 Assistante Administrative et Financière,Conseils,N/A,N/A,2026-04-14,"recherché : Bac +à Bac +en gestion, finance, comptabilité ou équivalent Expérience professionnelle de à ans minimum dans un poste similaire Excellente maîtrise du logiciel Sage Saari Excellente maîtri..."
FND Groupe recrute des Conseillers Commerciaux Seniors,FND Groupe,Dakar,N/A,2026-04-14,N/A
"Ambassade du Danemark à Dakar recrute 01 Conseiller politique, développement et diplomatie économique",Ambassade du Danemark à Dakar,Dakar,N/A,2026-04-14,"Être titulaire d’un Diplôme supérieur dans un domaine pertinent (science politique, relations internationales, économie, droit, études du développement ou équivalent) Avoir une expérience professionne..."
Ambassade du Danemark à Dakar recrute 01 Responsable Administratif et Financier,Ambassade du Danemark à Dakar,Dakar,N/A,2026-04-14,"Être titulaire d’un Diplôme en Finance, Comptabilité, Gestion ou Administration Avoir au moins à ans d’expérience professionnelle dans gestion financière et administrative Avoir une bonne connaissance..."
CFAO Mobility recrute 01 Stagiaire Agent Administratif PR,CFAO Mobility,N/A,N/A,2026-04-14,N/A
Médecins du Monde – Espagne recrute 01  Coordinateur de Base,Espagne,Dakar,CDD,2026-04-14,des bailleurs de fonds potentielsProgrammation et mise en œuvre Assurer la planification stratégique et opérationnelle des projets en lien avec les cadres de l’équipe de Médicos del MundoAssurer la bo...
Institut français du Sénégal (IFS) recrute 01 Responsable pédagogique,son antenne du Centre de langues de Saint-Louis,Saint-Louis,CDD,2026-04-14,"recherché : Bac+/en FLE Expérience en ingénierie pédagogique et management d’équipe Maîtrise des outils numériques et des TICE Habilitation DELF/DALF appréciée Rigueur, autonomie et sens du service pu..."
CorpsAfrica recrute 01 Stagiaire Comptable,CorpsAfrica,Dakar,STAGE,2026-04-14,"et leur énergie au service de leurs concitoyens les plus vulnérableswwwcorpsafricaorg CorpsAfrica a progressivement étendu ses opérations du Maroc au Sénégal, au Malawi, au Rwanda, au Ghana, au Kenya,..."
KOICA recruits 01 Human Resources & Administration Assistant,N/A,Dakar,CDD,2026-04-14,N/A
Neuf Logistique recrute 01 Assistant Commercial et Administratif,Neuf Logistique,Dakar,N/A,2026-04-14,"en commerce et gestion commerciale : Expérience en gestion des ventes, suivi des objectifs et gestion de portefeuille clientsCompétences en prospection et relation client : Capacité à identifier et"
KSD Consulting recrute des Commerciaux,KSD Consulting,Dakar,N/A,2026-04-14,recherché : Habiter dans la zone où vous allez travailler Être dynamique motivé et avoir le
GPF recrute 01 Project Controller,GPF,N/A,N/A,2026-04-14,"Bac +en finance, gestion, ingénierie ou équivalent Expérience en contrôle de projet / contrôle de gestion (idéalement Oil & Gas / BTP) Expérience en environnement international souhaitée Anglais coura..."
Topwork recrute 01 Ingénieur Chef de Projet des travaux lots Techniques,Topwork,N/A,N/A,2026-04-14,N/A
Jamesbiker recrute 01 Livreur,Jamesbiker,N/A,N/A,2026-04-14,N/A
GPF recrute 01 Auditeur Interne,GPF,Dakar,N/A,2026-04-14,"Formation Bac+(École de Commerce, Master Audit / Finance) Expérience Minimum ans en cabinet d’audit ou en audit interne Compétences techniques Maîtrise des méthodes et outils d’audit Bonne culture com..."
ONG RAES recrute 01 Directeur Administratif et Financier,ONG RAES,Dakar,N/A,2026-04-14,"des bailleursElle devra également structurer et piloter toute l’équipe administrative, achat et comptable en coordination le directeur exécutif adjointFonction et Tâches Assister la Direction exécutiv..."
BCEAO recrute 01 Chargé des projets de communication,BCEAO,Dakar,CDD,2026-04-14,"requis Être titulaire d’un diplôme de niveau BAC + en Sciences et Techniques de la Communication , Journalisme, Lettres Modernes, Relations publiques ou domaines connexes  ; Avoir au minimum ans d’exp..."
Global Green Growth Institute (GGGI) recrute 01 Carbon Finance Intern,postuler à cette offre d,N/A,N/A,2026-04-14,N/A
Linguéma recrute des Chauffeurs et apprentis chauffeurs,Linguéma,Mbour,N/A,2026-04-14,N/A
CFAO Mobility recrute 01 stagiaire comptable,CFAO Mobility,N/A,N/A,2026-04-14,"recherché Les candidats doivent répondre aux critères suivants : Être titulaire d’un BAC+en comptabilité ou en gestion des entreprises Maîtriser les outils bureautiques, notamment Excel et Word Faire ..."
Projet PATIP-JF recrute des jeunes diplômés,Projet PATIP-JF,N/A,N/A,2026-04-14,N/A
COM & PRINT Multiservices recrute 01 Designer Graphique print,PRINT Multiservices,Dakar,N/A,2026-04-14,"s passionnés par le design graphique, capables de produire des visuels professionnels avec précision et créativitéDétails du poste Le poste est basé à Grand Mbao, dans la région de Dakar, avec un trav..."
La Banque Agricole recrute 01 Auditeur Junior,La Banque Agricole,N/A,N/A,2026-04-14,N/A
Digital Afrika recrute 01 comptable trésorier,Digital Afrika,N/A,N/A,2026-04-14,N/A
Terrou-Bi Dakar recrute 01 Responsable Qualité & Sécurité Alimentaire Adjoint,Terrou-Bi Dakar,Dakar,INTÉRIM,2026-04-14,"recherché Les candidats doivent répondre aux critères suivants : Titulaire d’un Bac +en QHSE, biologie ou chimie Expérience professionnelle de à ans minimum en hôtellerie ou à un poste similaire Capac..."
ISEP Matam recrute 02 enseignants-formateurs,ISEP Matam,N/A,N/A,2026-04-14,"s qualifiés, désireux de contribuer à la formation de techniciens compétents et directement opérationnels sur le marché du travailObjectif du recrutement À travers ce recrutement, l’ISEP de Matam réaf..."
Les 48 offres d’emploi et stage  du 13 Avril 2026 au Sénégal,recrute 20 Profils 2,N/A,STAGE,2026-04-13,N/A
Une Entreprise recrute 20 Profils,Une Entreprise,N/A,N/A,2026-04-13,N/A
Dangote Cement Senegal recrute 01 Opérateur Turbine,Dangote Cement Senegal,N/A,N/A,2026-04-13,Excellentes aptitudes analytiques et de résolution de problèmes Excellentes compétences en communication orale et écrite Maîtrise des outils Microsoft OfficeCompétences HSE liées au poste Savoir utili...
Africa Global Logistics recrute 01 Chef de section électrotechnique,Africa Global Logistics,N/A,N/A,2026-04-13,Être titulaire d’un diplôme de niveau Bac +en maintenance ou domaine équivalent ou justifier d’une expérience professionnelle significative dans le domaine ; Avoir une expérience en management d’équip...
Africa Global Logistics recrute 01 Magasinier,Africa Global Logistics,N/A,N/A,2026-04-13,Bac + ou validation des acquis en Transport Logistique ou équivalent ; Bonne maîtrise de Microsoft Office ; Bon usage des moyens de communication ; Organisé ; Leader naturel ; Capacité de prise d’init...
Africa Global Logistics recrute 01 Comptable Général,Africa Global Logistics,N/A,N/A,2026-04-13,"Être de niveau Bac + minimum (BTS, DUT, Diplôme de Comptabilité et de Gestion DCG, …) ou validation des acquis en comptabilité, fiscalité, finance ou tout diplôme équivalent en comptabilité ; Avoir la..."
